Nr,Tweets,bow
1284,"['aiokona', 'movie', 'shinichi', 'string']","[(295, 1), (648, 1), (649, 1), (650, 1)]"
1286,['thoug'],"[(651, 1)]"
1287,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
1289,"['control', 'else', 'feelings']","[(144, 1), (655, 1), (656, 1)]"
1291,"['astros', 'houston', 'shirt', 'benefits', 'covid', 'relief']","[(131, 1), (347, 1), (368, 1), (657, 1), (658, 1), (659, 1)]"
1293,"['school', 'final', 'exam', 'jesus', 'girl']","[(161, 1), (162, 1), (163, 1), (164, 1), (165, 1)]"
1294,"['self', 'control']","[(144, 1), (660, 1)]"
1295,"['michigan', 'extremist', 'wing']","[(187, 1), (451, 1), (452, 1)]"
1300,"['walkaway', 'maga']","[(92, 1), (93, 1)]"
1301,['week'],"[(661, 1)]"
1302,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
1303,"['pete', 'agents', 'draintheswamp']","[(392, 1), (393, 1), (394, 1)]"
1304,"['cruz', 'attorney', 'barr']","[(337, 1), (338, 1), (339, 1)]"
1305,"['peter', 'strzok', 'eminem', 'lose', 'yourself']","[(614, 1), (615, 1), (616, 1), (617, 1), (618, 1)]"
1306,['music'],"[(79, 1)]"
1310,"['girls', 'story']","[(28, 1), (29, 1)]"
1311,"['zerber', 'daily', 'jenni', 'roche', 'tudor', 'freight', 'stephen']","[(589, 1), (695, 1), (696, 1), (697, 1), (698, 1), (699, 1), (700, 1)]"
1318,['mongraal'],"[(701, 1)]"
1319,"['houstonshazel', 'daily', 'exercising']","[(589, 1), (702, 1), (703, 1)]"
1321,['fofokosan'],"[(704, 1)]"
1324,"['girl', 'attention', 'beyonc', 'drake']","[(163, 1), (214, 1), (245, 1), (705, 1)]"
1326,"['favorite', 'media', 'moment']","[(97, 1), (98, 1), (99, 1)]"
1327,['local'],"[(706, 1)]"
1329,['time'],"[(76, 1)]"
1330,"['congress', 'washington', 'debating']","[(49, 1), (50, 1), (51, 1)]"
1331,"['twitter', 'lmfaooo']","[(27, 1), (707, 1)]"
1333,['twitter'],"[(27, 1)]"
1334,"['chanel', 'forehead']","[(708, 1), (709, 1)]"
1337,"['plan', 'surprise', 'trips', 'romantic', 'stuff']","[(3, 1), (710, 1), (711, 1), (712, 1), (713, 1)]"
1338,"['business', 'owner', 'faith']","[(48, 1), (714, 1), (715, 1)]"
1340,"['astro', 'doug', 'crew', 'dragon']","[(662, 1), (663, 1), (664, 1), (665, 1)]"
1341,"['lmaooo', 'butterfly']","[(426, 1), (666, 1)]"
1342,['twitter'],"[(27, 1)]"
1343,"['nancy', 'pelosi']","[(117, 1), (118, 1)]"
1344,['iamtdr'],"[(667, 1)]"
1346,"['jackhoegang', 'lmaoo']","[(345, 1), (668, 1)]"
1347,"['fuckin', 'drake', 'witcho', 'light', 'skin']","[(214, 1), (669, 1), (670, 1), (671, 1), (672, 1)]"
1348,['matter'],"[(673, 1)]"
1350,"['treats', 'mexico', 'telephone', 'houston', 'churro', 'concha', 'cream', 'sandwiches']","[(131, 1), (674, 1), (675, 1), (676, 1), (677, 1), (678, 1), (679, 1), (680, 1)]"
1351,['jaaaybee'],"[(645, 1)]"
1354,"['april', 'contracting', 'novel', 'coronavirus']","[(308, 1), (681, 1), (682, 1), (683, 1)]"
1356,"['slow', 'dark', 'contact']","[(220, 1), (249, 1), (250, 1)]"
1358,"['bhweingarten', 'obama', 'biden']","[(576, 1), (684, 1), (685, 1)]"
1359,"['popmusicprince', 'nicki']","[(229, 1), (686, 1)]"
1360,"['ryanxtaylor', 'idea']","[(687, 1), (688, 1)]"
1361,['love'],"[(302, 1)]"
1362,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
1363,['haven'],"[(460, 1)]"
1365,"['kids', 'classic', 'spiderman', 'scenes', 'marvel']","[(283, 1), (689, 1), (690, 1), (691, 1), (692, 1)]"
1371,"['weird', 'light']","[(670, 1), (693, 1)]"
1373,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
1374,"['chris', 'vocals']","[(472, 1), (716, 1)]"
1375,"['leaked', 'joel']","[(627, 1), (717, 1)]"
1376,"['source', 'selection', 'statement', 'gateway', 'supply', 'contract', 'boeing']","[(718, 1), (719, 1), (720, 1), (721, 1), (722, 1), (723, 1), (724, 1)]"
1378,"['investoryangof', 'farmzy', 'cell']","[(725, 1), (726, 1), (727, 1)]"
1379,['light'],"[(670, 1)]"
1380,"['congress', 'washington', 'debating']","[(49, 1), (50, 1), (51, 1)]"
1384,"['football', 'player']","[(73, 1), (508, 1)]"
1388,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
1390,"['glad', 'time']","[(76, 1), (620, 1)]"
1391,['goofy'],"[(728, 1)]"
1392,"['antonio', 'armed', 'protesters', 'storm', 'michigan', 'capital', 'bullet', 'proof', 'vests', 'vote', 'lockdown']","[(182, 1), (183, 1), (184, 1), (185, 1), (186, 1), (187, 1), (188, 1), (189, 1), (190, 1), (191, 1), (192, 1)]"
1394,['icing'],"[(729, 1)]"
1395,"['radio', 'rebel', 'cinematic', 'masterpiece', 'debby', 'ryan']","[(730, 1), (731, 1), (732, 1), (733, 1), (734, 1), (735, 1)]"
1396,"['joeingram', 'texted', 'allen']","[(736, 1), (737, 1), (738, 1)]"
1397,['choice'],"[(425, 1)]"
1399,"['variety', 'hammered', 'wire', 'rings', 'mileevadesigns', 'accessories', 'handmade', 'etsy']","[(109, 1), (739, 1), (740, 1), (741, 1), (742, 1), (743, 1), (744, 1), (745, 1)]"
1400,"['beyonc', 'jennifer', 'hudson', 'keke', 'palmer', 'cynthia', 'erivo', 'amber', 'riley', 'hercules']","[(245, 1), (746, 1), (747, 1), (748, 1), (749, 1), (750, 1), (751, 1), (752, 1), (753, 1), (754, 1)]"
1401,['houston'],"[(131, 1)]"
1402,"['dior', 'saddle']","[(755, 1), (756, 1)]"
1403,"['thomasfinesse', 'persons', 'character']","[(260, 1), (261, 1), (262, 1)]"
1404,"['amendment', 'asap']","[(757, 1), (758, 1)]"
1409,['kendiexoxo'],"[(759, 1)]"
1410,['flame'],"[(169, 1)]"
1411,"['freaking', 'sugar', 'daddy']","[(386, 1), (760, 1), (761, 1)]"
1412,"['deep', 'pain']","[(124, 1), (762, 1)]"
1416,"['girls', 'story']","[(28, 1), (29, 1)]"
1423,['mongraal'],"[(701, 1)]"
1424,"['houstonshazel', 'daily', 'exercising']","[(589, 1), (702, 1), (703, 1)]"
1426,['fofokosan'],"[(704, 1)]"
1429,"['girl', 'attention', 'beyonc', 'drake']","[(163, 1), (214, 1), (245, 1), (705, 1)]"
1431,"['favorite', 'media', 'moment']","[(97, 1), (98, 1), (99, 1)]"
1432,['local'],"[(706, 1)]"
1434,['time'],"[(76, 1)]"
1435,"['congress', 'washington', 'debating']","[(49, 1), (50, 1), (51, 1)]"
1436,"['twitter', 'lmfaooo']","[(27, 1), (707, 1)]"
1438,['twitter'],"[(27, 1)]"
1439,"['chanel', 'forehead']","[(708, 1), (709, 1)]"
1441,"['suite', 'president', 'president']","[(547, 2), (548, 1)]"
1442,['trickfortazz'],"[(470, 1)]"
1444,"['jesus', 'verb']","[(164, 1), (763, 1)]"
1445,"['jesus', 'christ']","[(164, 1), (764, 1)]"
1447,"['sydneylbell', 'history', 'project', 'covid']","[(61, 1), (368, 1), (765, 1), (766, 1)]"
1448,"['ohmykendalll', 'girl', 'energy', 'drink']","[(163, 1), (585, 1), (767, 1), (768, 1)]"
1450,['itstrategy'],"[(769, 1)]"
1451,"['alphabet', 'countdown', 'challenge']","[(770, 1), (771, 1), (772, 1)]"
1452,['xssxncx'],"[(773, 1)]"
1453,['flurry'],"[(774, 1)]"
1454,['twitter'],"[(27, 1)]"
1455,"['procurement', 'management', 'project', 'resources']","[(766, 1), (775, 1), (776, 1), (777, 1)]"
1456,"['remote', 'project', 'management', 'chieftechnologyofficer']","[(766, 1), (775, 1), (778, 1), (779, 1)]"
1457,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
1460,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
1461,"['dennis', 'lloyd']","[(780, 1), (781, 1)]"
1462,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
1464,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
1465,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
1467,"['night', 'cant']","[(782, 1), (783, 1)]"
1470,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
1472,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
1473,['houston'],"[(131, 1)]"
1474,['dream'],"[(603, 1)]"
1475,"['girls', 'story']","[(28, 1), (29, 1)]"
1478,"['federal', 'stop']","[(784, 1), (785, 1)]"
1479,"['trickfortazz', 'seihlom', 'prolly', 'cause']","[(470, 1), (628, 1), (786, 1), (787, 1)]"
1480,['jonnyco'],"[(228, 1)]"
1481,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
1482,"['chris', 'vocals']","[(472, 1), (716, 1)]"
1483,"['leaked', 'joel']","[(627, 1), (717, 1)]"
1484,"['source', 'selection', 'statement', 'gateway', 'supply', 'contract', 'boeing']","[(718, 1), (719, 1), (720, 1), (721, 1), (722, 1), (723, 1), (724, 1)]"
1486,"['investoryangof', 'farmzy', 'cell']","[(725, 1), (726, 1), (727, 1)]"
1487,['light'],"[(670, 1)]"
1488,"['congress', 'washington', 'debating']","[(49, 1), (50, 1), (51, 1)]"
1492,"['football', 'player']","[(73, 1), (508, 1)]"
1496,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
1498,"['glad', 'time']","[(76, 1), (620, 1)]"
1499,['goofy'],"[(728, 1)]"
1500,"['antonio', 'armed', 'protesters', 'storm', 'michigan', 'capital', 'bullet', 'proof', 'vests', 'vote', 'lockdown']","[(182, 1), (183, 1), (184, 1), (185, 1), (186, 1), (187, 1), (188, 1), (189, 1), (190, 1), (191, 1), (192, 1)]"
1502,['icing'],"[(729, 1)]"
1503,"['radio', 'rebel', 'cinematic', 'masterpiece', 'debby', 'ryan']","[(730, 1), (731, 1), (732, 1), (733, 1), (734, 1), (735, 1)]"
1504,"['joeingram', 'texted', 'allen']","[(736, 1), (737, 1), (738, 1)]"
1505,['choice'],"[(425, 1)]"
1507,"['variety', 'hammered', 'wire', 'rings', 'mileevadesigns', 'accessories', 'handmade', 'etsy']","[(109, 1), (739, 1), (740, 1), (741, 1), (742, 1), (743, 1), (744, 1), (745, 1)]"
1508,"['poshmarkapp', 'poshmark', 'fashion', 'style', 'shopmycloset']","[(643, 1), (788, 1), (789, 1), (790, 1), (791, 1)]"
1509,"['beyonc', 'jennifer', 'hudson', 'keke', 'palmer', 'cynthia', 'erivo', 'amber', 'riley', 'hercules']","[(245, 1), (746, 1), (747, 1), (748, 1), (749, 1), (750, 1), (751, 1), (752, 1), (753, 1), (754, 1)]"
1510,['houston'],"[(131, 1)]"
1511,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
1512,"['country', 'marine', 'houston', 'ties']","[(131, 1), (792, 1), (793, 1), (794, 1)]"
1513,"['walkaway', 'maga']","[(92, 1), (93, 1)]"
1514,"['followers', 'unfollowers']","[(795, 1), (796, 1)]"
1515,['drake'],"[(214, 1)]"
1516,"['school', 'final', 'exam', 'jesus', 'girl']","[(161, 1), (162, 1), (163, 1), (164, 1), (165, 1)]"
1519,"['lame', 'cause']","[(628, 1), (797, 1)]"
1520,['unmeet'],"[(798, 1)]"
1525,"['congress', 'washington', 'debating']","[(49, 1), (50, 1), (51, 1)]"
1527,"['wave', 'time']","[(76, 1), (77, 1)]"
1528,"['casting', 'couch']","[(799, 1), (800, 1)]"
1530,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
1531,"['alyssa', 'milano', 'wrong', 'officals']","[(348, 1), (352, 1), (801, 1), (802, 1)]"
1532,"['drive', 'pitchers', 'love', 'catcher', 'encouragement']","[(302, 1), (803, 1), (804, 1), (805, 1), (806, 1)]"
1533,"['spazomb', 'anime', 'chibi', 'cake', 'snail', 'illustration', 'digitalart', 'xppen', 'clipst']","[(807, 1), (808, 1), (809, 1), (810, 1), (811, 1), (812, 1), (813, 1), (814, 1), (815, 1)]"
1535,"['favorite', 'media', 'moment']","[(97, 1), (98, 1), (99, 1)]"
1537,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
1538,['randydaman'],"[(816, 1)]"
1539,"['boys', 'remix']","[(215, 1), (216, 1)]"
1541,['love'],"[(302, 1)]"
1543,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
1544,"['suite', 'president', 'president']","[(547, 2), (548, 1)]"
1545,['trickfortazz'],"[(470, 1)]"
1547,"['jesus', 'verb']","[(164, 1), (763, 1)]"
1548,"['jesus', 'christ']","[(164, 1), (764, 1)]"
1550,"['sydneylbell', 'history', 'project', 'covid']","[(61, 1), (368, 1), (765, 1), (766, 1)]"
1551,"['ohmykendalll', 'girl', 'energy', 'drink']","[(163, 1), (585, 1), (767, 1), (768, 1)]"
1553,['itstrategy'],"[(769, 1)]"
1554,"['alphabet', 'countdown', 'challenge']","[(770, 1), (771, 1), (772, 1)]"
1555,['flurry'],"[(774, 1)]"
1556,['twitter'],"[(27, 1)]"
1557,"['procurement', 'management', 'project', 'resources']","[(766, 1), (775, 1), (776, 1), (777, 1)]"
1558,"['remote', 'project', 'management', 'chieftechnologyofficer']","[(766, 1), (775, 1), (778, 1), (779, 1)]"
1559,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
1562,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
1563,"['dennis', 'lloyd']","[(780, 1), (781, 1)]"
1564,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
1566,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
1567,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
1569,"['night', 'cant']","[(782, 1), (783, 1)]"
1572,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
1574,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
1575,['houston'],"[(131, 1)]"
1576,['dream'],"[(603, 1)]"
1577,"['girls', 'story']","[(28, 1), (29, 1)]"
1580,"['federal', 'stop']","[(784, 1), (785, 1)]"
1581,['kajuanna'],"[(817, 1)]"
1583,['kajuanna'],"[(817, 1)]"
1586,"['mashigo', 'naledi', 'morning', 'sister', 'naledi', 'time']","[(76, 1), (224, 1), (539, 1), (818, 1), (819, 2)]"
1587,['cost'],"[(443, 1)]"
1588,"['double', 'innuendo', 'triple']","[(820, 1), (821, 1), (822, 1)]"
1589,"['mighty', 'river', 'aquarius']","[(823, 1), (824, 1), (825, 1)]"
1590,"['mighty', 'river', 'aquarius']","[(823, 1), (824, 1), (825, 1)]"
1591,"['professional', 'life', 'virgo']","[(138, 1), (826, 1), (827, 1)]"
1592,"['professional', 'life', 'virgo']","[(138, 1), (826, 1), (827, 1)]"
1593,"['houston', 'police', 'department', 'fire', 'marshal']","[(131, 1), (455, 1), (828, 1), (829, 1), (830, 1)]"
1594,"['human', 'landing', 'system', 'contracts', 'nasa', 'awarded']","[(41, 1), (87, 1), (88, 1), (89, 1), (90, 1), (91, 1)]"
1595,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
1598,['huhh'],"[(831, 1)]"
1599,"['body', 'count']","[(832, 1), (833, 1)]"
1600,"['operations', 'plan', 'business', 'plan']","[(48, 1), (710, 2), (834, 1)]"
1603,"['marketing', 'strategy', 'product']","[(306, 1), (835, 1), (836, 1)]"
1604,"['playboy', 'carti', 'drake', 'feature']","[(203, 1), (214, 1), (837, 1), (838, 1)]"
1605,"['human', 'resource', 'manager']","[(89, 1), (839, 1), (840, 1)]"
1607,"['profitable', 'project', 'cancer']","[(304, 1), (766, 1), (841, 1)]"
1608,"['employee', 'performance', 'review', 'template', 'free']","[(100, 1), (343, 1), (842, 1), (843, 1), (844, 1)]"
1609,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
1610,"['feature', 'twitter', 'buddies', 'kessler']","[(27, 1), (837, 1), (845, 1), (846, 1)]"
1611,"['busy', 'fishing']","[(847, 1), (848, 1)]"
1612,"['lindanap', 'genflynn', 'drink']","[(767, 1), (849, 1), (850, 1)]"
1613,['confidence'],"[(851, 1)]"
1614,"['profitable', 'project', 'cancer']","[(304, 1), (766, 1), (841, 1)]"
1615,"['passionate', 'conversation', 'capricorn']","[(852, 1), (853, 1), (854, 1)]"
1616,"['sentimental', 'moon', 'supportive', 'angle', 'venus', 'taurus']","[(855, 1), (856, 1), (857, 1), (858, 1), (859, 1), (860, 1)]"
1618,"['command', 'respect', 'virtual', 'meeting', 'scorpio']","[(861, 1), (862, 1), (863, 1), (864, 1), (865, 1)]"
1619,"['childhood', 'trauma']","[(866, 1), (867, 1)]"
1621,"['congress', 'washington', 'debating']","[(49, 1), (50, 1), (51, 1)]"
1622,['nipsey'],"[(868, 1)]"
1623,['bacchus'],"[(869, 1)]"
1624,"['devin', 'nunes', 'discusses', 'flynn', 'revelations', 'stunning', 'corruption', 'refuge']","[(0, 1), (870, 1), (871, 1), (872, 1), (873, 1), (874, 1), (875, 1), (876, 1)]"
1628,['type'],"[(125, 1)]"
1630,"['nflfilms', 'deshaun']","[(877, 1), (878, 1)]"
1631,"['protein', 'mystery']","[(879, 1), (880, 1)]"
1632,['confidence'],"[(851, 1)]"
1634,"['brainstorming', 'libra']","[(881, 1), (882, 1)]"
1635,"['professional', 'life', 'virgo']","[(138, 1), (826, 1), (827, 1)]"
1637,"['profitable', 'project', 'cancer']","[(304, 1), (766, 1), (841, 1)]"
1639,"['command', 'respect', 'virtual', 'meeting', 'scorpio']","[(861, 1), (862, 1), (863, 1), (864, 1), (865, 1)]"
1640,"['suite', 'president', 'president']","[(547, 2), (548, 1)]"
1641,"['netflix', 'cringey']","[(883, 1), (884, 1)]"
1643,['loan'],"[(885, 1)]"
1644,"['sentimental', 'moon', 'supportive', 'angle', 'venus', 'taurus']","[(855, 1), (856, 1), (857, 1), (858, 1), (859, 1), (860, 1)]"
1646,"['command', 'respect', 'virtual', 'meeting', 'scorpio']","[(861, 1), (862, 1), (863, 1), (864, 1), (865, 1)]"
1647,['pizza'],"[(886, 1)]"
1648,"['profitable', 'project', 'cancer']","[(304, 1), (766, 1), (841, 1)]"
1649,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
1650,"['country', 'marine', 'houston', 'ties']","[(131, 1), (792, 1), (793, 1), (794, 1)]"
1651,"['walkaway', 'maga']","[(92, 1), (93, 1)]"
1652,['drake'],"[(214, 1)]"
1653,"['school', 'final', 'exam', 'jesus', 'girl']","[(161, 1), (162, 1), (163, 1), (164, 1), (165, 1)]"
1656,"['lame', 'cause']","[(628, 1), (797, 1)]"
1657,['unmeet'],"[(798, 1)]"
1662,"['congress', 'washington', 'debating']","[(49, 1), (50, 1), (51, 1)]"
1665,"['coronavirus', 'pandemic']","[(69, 1), (682, 1)]"
1666,"['steam', 'story', 'streamingsomlday']","[(29, 1), (887, 1), (888, 1)]"
1667,"['houston', 'drivers', 'toll', 'roads', 'free', 'anymore']","[(131, 1), (343, 1), (889, 1), (890, 1), (891, 1), (892, 1)]"
1668,"['brainstorming', 'libra']","[(881, 1), (882, 1)]"
1669,"['command', 'respect', 'virtual', 'meeting', 'scorpio']","[(861, 1), (862, 1), (863, 1), (864, 1), (865, 1)]"
1670,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
1671,"['senschumer', 'chucky']","[(420, 1), (422, 1)]"
1672,"['command', 'respect', 'virtual', 'meeting', 'scorpio']","[(861, 1), (862, 1), (863, 1), (864, 1), (865, 1)]"
1673,"['cyril', 'grayson', 'thec', 'brady', 'secret', 'weapon', 'track', 'star']","[(893, 1), (894, 1), (895, 1), (896, 1), (897, 1), (898, 1), (899, 1), (900, 1)]"
1674,"['boys', 'remix']","[(215, 1), (216, 1)]"
1675,"['nokidshive', 'uighur', 'muslims']","[(901, 1), (902, 1), (903, 1)]"
1676,"['positive', 'outlook', 'aries']","[(904, 1), (905, 1), (906, 1)]"
1677,['twitter'],"[(27, 1)]"
1678,"['twitter', 'customer', 'service', 'twittersmarter']","[(27, 1), (907, 1), (908, 1), (909, 1)]"
1679,"['darealdj', 'sekret', 'bout']","[(910, 1), (911, 1), (912, 1)]"
1680,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
1681,['jeans'],"[(501, 1)]"
1682,"['eniyahhh', 'superior']","[(396, 1), (913, 1)]"
1683,"['flower', 'picture']","[(110, 1), (914, 1)]"
1684,"['passionate', 'conversation', 'capricorn']","[(852, 1), (853, 1), (854, 1)]"
1685,"['talented', 'teacher', 'sagittarius']","[(915, 1), (916, 1), (917, 1)]"
1686,"['saint', 'joseph', 'worker', 'communism']","[(918, 1), (919, 1), (920, 1), (921, 1)]"
1687,"['michigan', 'rashida', 'tlaib']","[(187, 1), (922, 1), (923, 1)]"
1689,"['positive', 'outlook', 'aries']","[(904, 1), (905, 1), (906, 1)]"
1690,"['frank', 'sinatra', 'change', 'youtube']","[(432, 1), (924, 1), (925, 1), (926, 1)]"
1691,"['talented', 'teacher', 'sagittarius']","[(915, 1), (916, 1), (917, 1)]"
1692,['white'],"[(254, 1)]"
1693,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
1694,"['ogbunz', 'teammate', 'rent']","[(927, 1), (928, 1), (929, 1)]"
1696,"['national', 'guard', 'protest', 'police', 'brutality', 'mzungus']","[(830, 1), (930, 1), (931, 1), (932, 1), (933, 1), (934, 1)]"
1699,"['girls', 'story']","[(28, 1), (29, 1)]"
1700,['nanblunt'],"[(935, 1)]"
1701,"['talented', 'teacher', 'sagittarius']","[(915, 1), (916, 1), (917, 1)]"
1702,"['houston', 'humidity']","[(131, 1), (936, 1)]"
1703,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
1704,"['mighty', 'river', 'aquarius']","[(823, 1), (824, 1), (825, 1)]"
1706,"['talented', 'teacher', 'sagittarius']","[(915, 1), (916, 1), (917, 1)]"
1707,"['chris', 'brown', 'drake']","[(214, 1), (471, 1), (472, 1)]"
1708,"['niacinamide', 'serum']","[(937, 1), (938, 1)]"
1709,"['school', 'final', 'exam', 'jesus', 'girl']","[(161, 1), (162, 1), (163, 1), (164, 1), (165, 1)]"
1711,['girl'],"[(163, 1)]"
1712,"['antonio', 'armed', 'protesters', 'storm', 'michigan', 'capital', 'bullet', 'proof', 'vests', 'vote', 'lockdown']","[(182, 1), (183, 1), (184, 1), (185, 1), (186, 1), (187, 1), (188, 1), (189, 1), (190, 1), (191, 1), (192, 1)]"
1713,"['mighty', 'river', 'aquarius']","[(823, 1), (824, 1), (825, 1)]"
1714,['kajuanna'],"[(817, 1)]"
1716,['kajuanna'],"[(817, 1)]"
1719,"['mashigo', 'naledi', 'morning', 'sister', 'naledi', 'time']","[(76, 1), (224, 1), (539, 1), (818, 1), (819, 2)]"
1720,['cost'],"[(443, 1)]"
1721,"['double', 'innuendo', 'triple']","[(820, 1), (821, 1), (822, 1)]"
1722,"['mighty', 'river', 'aquarius']","[(823, 1), (824, 1), (825, 1)]"
1723,"['mighty', 'river', 'aquarius']","[(823, 1), (824, 1), (825, 1)]"
1724,"['professional', 'life', 'virgo']","[(138, 1), (826, 1), (827, 1)]"
1725,"['professional', 'life', 'virgo']","[(138, 1), (826, 1), (827, 1)]"
1726,"['houston', 'police', 'department', 'fire', 'marshal']","[(131, 1), (455, 1), (828, 1), (829, 1), (830, 1)]"
1727,"['human', 'landing', 'system', 'contracts', 'nasa', 'awarded']","[(41, 1), (87, 1), (88, 1), (89, 1), (90, 1), (91, 1)]"
1728,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
1731,['huhh'],"[(831, 1)]"
1732,"['body', 'count']","[(832, 1), (833, 1)]"
1733,"['operations', 'plan', 'business', 'plan']","[(48, 1), (710, 2), (834, 1)]"
1736,"['marketing', 'strategy', 'product']","[(306, 1), (835, 1), (836, 1)]"
1737,"['playboy', 'carti', 'drake', 'feature']","[(203, 1), (214, 1), (837, 1), (838, 1)]"
1738,"['human', 'resource', 'manager']","[(89, 1), (839, 1), (840, 1)]"
1740,"['profitable', 'project', 'cancer']","[(304, 1), (766, 1), (841, 1)]"
1741,"['employee', 'performance', 'review', 'template', 'free']","[(100, 1), (343, 1), (842, 1), (843, 1), (844, 1)]"
1742,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
1743,"['feature', 'twitter', 'buddies', 'kessler']","[(27, 1), (837, 1), (845, 1), (846, 1)]"
1744,"['busy', 'fishing']","[(847, 1), (848, 1)]"
1745,"['lindanap', 'genflynn', 'drink']","[(767, 1), (849, 1), (850, 1)]"
1746,['confidence'],"[(851, 1)]"
1747,"['profitable', 'project', 'cancer']","[(304, 1), (766, 1), (841, 1)]"
1748,"['buff', 'sailor']","[(939, 1), (940, 1)]"
1749,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
1752,"['baywitched', 'okay']","[(941, 1), (942, 1)]"
1753,"['talented', 'teacher', 'sagittarius']","[(915, 1), (916, 1), (917, 1)]"
1754,"['endless', 'cycle']","[(943, 1), (944, 1)]"
1755,"['mighty', 'river', 'aquarius']","[(823, 1), (824, 1), (825, 1)]"
1756,"['house', 'floor', 'portrait', 'relief', 'moses', 'speaker']","[(383, 1), (571, 1), (659, 1), (945, 1), (946, 1), (947, 1)]"
1757,"['energy', 'private', 'equity', 'indus']","[(585, 1), (948, 1), (949, 1), (950, 1)]"
1758,"['professional', 'life', 'virgo']","[(138, 1), (826, 1), (827, 1)]"
1759,"['professional', 'life', 'virgo']","[(138, 1), (826, 1), (827, 1)]"
1760,['pandemic'],"[(69, 1)]"
1761,"['dave', 'east']","[(133, 1), (951, 1)]"
